username,anime_id,my_score,user_id,gender,title,type,source,score,scored_by,rank,popularity,genre,Duration,Rating,Members,Favorites,Completed,On-Hold,Dropped
MistButterfly,33156,5,2485327,Female,Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium,Special,Original,6.56,482,5364,5171,"Comedy, School, Slice of Life",2 hr. 4 min.,R+ - Mild Nudity,566538,9555,208333,1935,2174
MistButterfly,35220,5,2485327,Female,Youkai Apartment no Yuuga na Nichijou,TV,Novel,7.18,12130,2911,1830,"Slice of Life, Mystery, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,158227,1359,718161,71513,11881
kioniel,357,8,144049,Male,Bokusatsu Tenshi Dokuro-chan,OVA,Light novel,6.75,80561,4520,607,"Comedy, Ecchi, Magic",30 min. per ep.,PG-13 - Teens 13 or older,46428,267,150183,860,894
kioniel,5678,9,144049,Male,Kobato.,TV,Manga,8.06,39948,476,814,"Comedy, Drama, Romance, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,135747,267,718161,11901,7971
Xinil,24,9,1,Male,School Rumble,TV,Manga,8.02,101593,537,347,"Comedy, Romance, School, Shounen",30 min. per ep.,R+ - Mild Nudity,43960,215,150183,749,1311
Xinil,201,7,1,Male,Video Girl Ai,OVA,Manga,7.28,8490,2511,2879,"Comedy, Drama, Ecchi, Romance",24 min. per ep.,PG-13 - Teens 13 or older,51022,290,718161,71513,2852
ihasabucket,534,8,18867,Male,Slayers,TV,Light novel,7.85,42588,804,949,"Adventure, Comedy, Demons, Magic, Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,94793,458,718161,11901,5814
xTheFallenx,268,7,340873,Male,Golden Boy,OVA,Manga,8.04,90852,502,518,"Adventure, Comedy, Ecchi",1 hr. 45 min.,R - 17+ (violence & profanity),148259,173,208333,1935,489
xTheFallenx,635,0,340873,Male,Juubee-chan: Lovely Gantai no Himitsu,TV,Original,6.71,5765,4709,3304,"Action, Adventure, Comedy, Drama, Shounen",22 min. per ep.,R - 17+ (violence & profanity),148259,17,718161,71513,910
xTheFallenx,25283,7,340873,Male,Kuusen Madoushi Kouhosei no Kyoukan,TV,Light novel,6.58,61366,5297,662,"Action, Drama, Fantasy, Magic, School",24 min. per ep.,R - 17+ (violence & profanity),148259,21,718161,712,1255
xTheFallenx,17641,8,340873,Male,Date A Live: Date to Date,OVA,Light novel,7.51,54670,1602,912,"Sci-Fi, Harem, Comedy, Romance, School",25 min. per ep.,R - 17+ (violence & profanity),255668,7038,718161,71513,8488
xTheFallenx,15505,7,340873,Male,Shining Hearts: Shiawase no Pan Specials,Special,Unknown,6.07,515,7183,7078,Fantasy,23 min. per ep.,R+ - Mild Nudity,65360,389,718161,71513,3195
Lithuelle,5341,0,2637159,Female,Ookami to Koushinryou II,TV,Light novel,8.43,161240,151,240,"Adventure, Historical, Romance, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,402646,3859,718161,71513,22409
scootarski,1943,9,19539,Male,Paprika,Movie,Novel,8.12,124537,416,308,"Sci-Fi, Mystery, Dementia, Horror, Psychological, Thriller, Fantasy",23 min. per ep.,R - 17+ (violence & profanity),198007,2064,718161,11901,9842
scootarski,80,0,19539,Male,Mobile Suit Gundam,TV,Original,7.87,29311,763,1215,"Action, Space, Mecha, Military, Sci-Fi",23 min. per ep.,PG-13 - Teens 13 or older,167615,1523,718161,71513,11057
Akihara,10568,8,82964,Female,Kamisama no Memochou,TV,Light novel,7.64,67591,1247,494,Mystery,23 min. per ep.,R+ - Mild Nudity,128788,391,718161,145,5507
Akihara,26213,7,82964,Female,Free!: Eternal Summer – Kindan no All Hard!,Special,Original,8.12,26479,408,1509,"Slice of Life, Comedy, School",24 min. per ep.,PG-13 - Teens 13 or older,176775,2074,718161,145,7852
Akihara,36215,7,82964,Female,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Special,Manga,8.05,3830,494,4090,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",24 min. per ep.,PG-13 - Teens 13 or older,93768,516,718161,145,1647
Tomoki-sama,24833,10,1933206,Male,Ansatsu Kyoushitsu,TV,Manga,8.22,313058,289,59,"Action, Comedy, School, Shounen",24 min. per ep.,PG-13 - Teens 13 or older,262980,5181,718161,71513,13115
Tomoki-sama,30654,10,1933206,Male,Ansatsu Kyoushitsu 2nd Season,TV,Manga,8.66,213765,53,134,"Action, Comedy, School, Shounen",24 min. per ep.,R - 17+ (violence & profanity),156661,1467,718161,11901,6957
Sakurei,31,7,158248,Female,Neon Genesis Evangelion: Death & Rebirth,Movie,Original,7.5,70425,1639,699,"Drama, Mecha, Psychological, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,231668,1955,718161,11736,11003
Sakurei,2966,7,158248,Female,Ookami to Koushinryou,TV,Light novel,8.34,226529,204,100,"Adventure, Fantasy, Historical, Romance",24 min. per ep.,PG-13 - Teens 13 or older,148259,13,718161,12737,942
Sakurei,603,3,158248,Female,Futari wa Precure,TV,Original,7.02,8798,3496,2470,"Action, Comedy, Magic, Fantasy, Shoujo",24 min. per ep.,R - 17+ (violence & profanity),411230,4417,718161,11901,13806
Sakurei,31804,4,158248,Female,Kuma Miko,TV,Manga,6.34,21210,6226,1460,"Slice of Life, Comedy, Seinen",24 min. per ep.,PG-13 - Teens 13 or older,254465,2988,718161,145,3533
Perfection_Freak,9969,7,183036,Female,Gintama&#039;,TV,Manga,9.11,92025,7,342,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",24 min. per ep.,R - 17+ (violence & profanity),227927,1358,718161,712,2271
Perfection_Freak,5029,7,183036,Female,Major Movie: Yuujou no Winning Shot,Movie,Manga,8.12,7239,414,3352,"Action, Sports, Shounen",25 min. per ep.,G - All Ages,81446,1613,718161,71513,2916
LyannaStark,4177,0,167812,Female,Bounen no Xamdou,ONA,Original,7.77,43433,935,905,"Action, Military, Sci-Fi",24 min. per ep.,PG-13 - Teens 13 or older,40602,255,718161,12737,1987
magedgamed,1535,10,4511507,Male,Death Note,TV,Manga,8.67,1.00E+06,51,1,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",25 min. per ep.,PG-13 - Teens 13 or older,88890,1036,718161,712,2625
magedgamed,18753,7,4511507,Male,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,Light novel,7.63,69862,1286,766,"Comedy, Romance, School",25 min. per ep.,PG-13 - Teens 13 or older,56981,1014,718161,712,828
magedgamed,330,7,4511507,Male,Midori no Hibi,TV,Manga,7.39,61396,2077,801,"Comedy, Drama, Romance, Ecchi, Shounen",23 min. per ep.,R+ - Mild Nudity,240751,1572,718161,11901,13227
magedgamed,1824,0,4511507,Male,Hadashi no Gen,Movie,Manga,7.88,9205,735,2479,"Drama, Historical",25 min. per ep.,PG-13 - Teens 13 or older,97216,1787,718161,5473,3100
magedgamed,30127,5,4511507,Male,Danchigai,TV,4-koma manga,6.63,27516,5052,1449,"Comedy, Slice of Life",25 min. per ep.,PG-13 - Teens 13 or older,62655,911,150183,145,794
magedgamed,19653,0,4511507,Male,Neppuu Kairiku Bushi Road,Special,Original,7.32,11587,2350,2175,"Action, Fantasy, Mecha, Sci-Fi",27 min. per ep.,PG-13 - Teens 13 or older,43308,717,150183,595,392
magedgamed,34439,0,4511507,Male,Code Geass: Hangyaku no Lelouch II - Handou,Movie,Original,7.76,379,962,2562,"Action, Military, Sci-Fi, Super Power, Mecha, School",52 min.,PG-13 - Teens 13 or older,148259,3,208333,1935,136
ShinyShinigami,7,0,4420327,Male,Witch Hunter Robin,TV,Original,7.34,31908,2292,1104,"Action, Magic, Police, Supernatural, Drama, Mystery",30 min. per ep.,PG-13 - Teens 13 or older,33687,230,150183,712,448
ShinyShinigami,8915,0,4420327,Male,Dantalian no Shoka,TV,Light novel,7.32,41506,2328,855,"Action, Mystery, Historical, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,53822,1721,718161,2628,1049
ShinyShinigami,30015,0,4420327,Male,ReLIFE,TV,Web manga,8.14,218273,387,126,"Slice of Life, Romance, School",24 min. per ep.,PG-13 - Teens 13 or older,30758,130,718161,1354,917
ShinyShinigami,133,0,4420327,Male,Green Green,TV,Visual novel,6.36,53633,6155,935,"Comedy, Ecchi, Romance, School, Slice of Life",1 hr. 59 min.,PG-13 - Teens 13 or older,34221,293,208333,1935,171
ShinyShinigami,3572,0,4420327,Male,Macross F,TV,Original,7.98,51693,580,791,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",2 hr.,PG-13 - Teens 13 or older,23161,63,208333,1935,193
ShinyShinigami,2451,0,4420327,Male,Space Cobra,TV,Manga,7.81,3217,868,3721,"Action, Adventure, Sci-Fi, Space",24 min. per ep.,PG-13 - Teens 13 or older,20794,95,718161,1094,628
ShinyShinigami,34096,0,4420327,Male,Gintama.,TV,Manga,9.02,40441,13,934,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",24 min. per ep.,PG-13 - Teens 13 or older,132208,2538,718161,5945,4411
ShinyShinigami,12471,0,4420327,Male,Eureka Seven AO,TV,Manga,6.81,28829,4265,1219,"Action, Adventure, Drama, Mecha, Sci-Fi",30 min. per ep.,PG-13 - Teens 13 or older,41030,221,150183,749,250
ShinyShinigami,34321,7,4420327,Male,Fate/Grand Order: First Order,Special,Game,6.97,39215,3668,1190,"Action, Supernatural, Magic, Fantasy",24 min. per ep.,PG-13 - Teens 13 or older,28862,189,718161,1746,983
SenpajBiju,1535,7,5285183,Male,Death Note,TV,Manga,8.67,1.00E+06,51,1,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",24 min. per ep.,R - 17+ (violence & profanity),140346,3584,718161,2628,5021
SenpajBiju,36038,10,5285183,Male,Net-juu no Susume,TV,Web manga,7.86,94500,785,413,"Game, Comedy, Romance",24 min. per ep.,R - 17+ (violence & profanity),148259,1206,718161,2628,2749
Wizzaroo,11843,0,317746,Male,Danshi Koukousei no Nichijou,TV,Web manga,8.34,190559,197,139,"Slice of Life, Comedy, School",24 min. per ep.,PG-13 - Teens 13 or older,35670,760,718161,2628,1448
Seishuku,5530,0,109554,Male,Pandora Hearts,TV,Manga,7.85,117406,801,233,"Adventure, Fantasy, Mystery, Shounen, Supernatural",24 min. per ep.,PG-13 - Teens 13 or older,55463,896,718161,5945,1607
